ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,MntTotal,TotalPurchases,TotalCampaignsAccepted,Customer_Tenure_Days,Family_Size,Has_Children,RFM_Segment,KMeans_Cluster
5524,1957,Graduation,Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,57,1617,25,1,848,1,0,Loyal,Affluent Regulars
2174,1954,Graduation,Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,60,27,6,0,298,3,1,Lost,Budget Families
4141,1965,Graduation,In_Couple,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,49,776,21,0,497,2,0,Champions,Affluent Regulars
6182,1984,Graduation,In_Couple,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,30,53,8,0,324,3,1,Lost,Budget Families
5324,1981,PhD,In_Couple,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,33,422,19,0,346,3,1,At Risk,Budget Families
7446,1967,Master,In_Couple,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,47,716,22,0,478,3,1,Champions,Affluent Regulars
965,1971,Graduation,Single,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,43,590,21,0,778,2,1,Champions,Budget Families
6177,1985,PhD,In_Couple,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,29,169,10,0,602,3,1,Lost,Budget Families
4855,1974,PhD,In_Couple,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,40,46,6,1,573,3,1,Lost,Budget Families
5899,1950,PhD,In_Couple,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,64,49,2,1,293,4,1,Lost,Budget Families
1994,1983,Graduation,In_Couple,51983.0,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,31,19,4,0,411,3,1,Lost,Budget Families
387,1976,Basic,In_Couple,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,38,61,6,0,778,2,0,Lost,Budget Families
2125,1959,Graduation,Single,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,55,1102,16,0,411,1,0,At Risk,Affluent Regulars
8180,1952,Master,Single,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,62,310,15,0,411,3,1,Lost,Budget Families
2569,1987,Graduation,In_Couple,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,27,46,5,0,812,2,0,Lost,Budget Families
2114,1946,PhD,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,68,1315,26,3,767,1,0,Champions,Campaign Enthusiasts
9736,1980,Graduation,In_Couple,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,34,96,9,0,737,4,1,Lost,Budget Families
4939,1946,Graduation,In_Couple,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,68,317,13,0,852,2,0,Lost,Budget Families
6565,1949,Master,In_Couple,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,65,1782,26,1,643,3,1,At Risk,Affluent Regulars
2278,1985,2n Cycle,Single,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,29,133,8,0,788,2,1,Lost,Budget Families
9360,1982,Graduation,In_Couple,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,32,316,12,0,875,2,0,Lost,Budget Families
5376,1979,Graduation,In_Couple,2447.0,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,35,1730,43,0,724,3,1,Champions,Budget Families
1993,1949,PhD,In_Couple,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,65,972,17,1,738,3,1,Loyal,Affluent Regulars
4047,1954,PhD,In_Couple,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,60,544,20,0,354,3,1,Champions,Affluent Regulars
1409,1951,Graduation,In_Couple,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,63,444,20,0,653,3,1,Loyal,Budget Families
7892,1969,Graduation,Single,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,45,75,8,0,728,1,0,Lost,Budget Families
2404,1976,Graduation,In_Couple,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,38,257,14,0,583,4,1,Lost,Budget Families
5255,1986,Graduation,Single,51983.0,1,0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,28,637,27,0,679,2,1,Champions,Budget Families
9422,1989,Graduation,In_Couple,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,25,131,9,0,579,3,1,Lost,Budget Families
1966,1965,PhD,In_Couple,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,49,1672,26,1,404,2,0,At Risk,Affluent Regulars
6864,1989,Master,Single,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,25,30,8,0,223,1,0,Lost,Budget Families
3033,1963,Master,In_Couple,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,51,318,11,0,599,2,0,Lost,Budget Families
5710,1970,Graduation,In_Couple,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,44,120,9,1,812,3,1,Lost,Budget Families
7373,1952,PhD,Single,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,62,302,17,1,793,3,1,Lost,Budget Families
8755,1946,Master,In_Couple,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,68,1196,18,0,679,2,0,Champions,Affluent Regulars
10738,1951,Master,Single,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,63,65,6,0,489,3,1,Lost,Budget Families
4339,1970,PhD,In_Couple,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,44,913,28,0,365,3,1,Champions,Affluent Regulars
10755,1976,2n Cycle,In_Couple,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,38,81,9,0,485,3,1,Lost,Budget Families
8595,1973,Graduation,Single,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,41,67,7,0,323,2,1,Lost,Budget Families
2968,1943,PhD,Single,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,71,902,24,2,698,1,0,Loyal,Campaign Enthusiasts
8601,1980,Graduation,In_Couple,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,34,1395,21,0,611,3,1,Champions,Affluent Regulars
503,1985,Master,In_Couple,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,29,53,7,0,659,3,1,Lost,Budget Families
